Feature	Gain	Cover	Frequency
cpayroll_trx	0.0678943127483616	0.0129617917248807	0.00306435137895812
mpasivos_margen	0.0624376127431733	0.0168374486410453	0.0259448416751788
ctrx_quarter	0.0569795069794998	0.0200107231543157	0.0251276813074566
mtarjeta_visa_consumo	0.0458147339819782	0.0131779512977012	0.0181818181818182
mcaja_ahorro	0.0454163762830018	0.0194533168700498	0.0297242083758938
mpayroll	0.0437823636919015	0.0287045467078025	0.0116445352400409
mrentabilidad_annual	0.0328970531144685	0.0177263295945583	0.0234933605720123
ctarjeta_visa_trx	0.0270048129577597	0.0206827047589236	0.0220633299284985
mcuentas_saldo	0.0263615991755106	0.0328954082178406	0.0305413687436159
Visa_mpagospesos	0.0263226783192612	0.0148079379333463	0.0214504596527068
mactivos_margen	0.0256650270426778	0.0286983535823377	0.0268641470888662
Visa_msaldototal	0.0250437815946877	0.0151518588353677	0.0197139938712972
mprestamos_personales	0.0228803471614697	0.0189715027055611	0.00602655771195097
cliente_edad	0.0212253690255874	0.0224163800100985	0.0316649642492339
mcuenta_corriente	0.0207712197446928	0.00844975742742187	0.0114402451481103
mcomisiones_otras	0.0190416396984269	0.0157784791699248	0.0254341164453524
Master_fechaalta	0.0183953039613108	0.0249210069096286	0.0292134831460674
Visa_fechaalta	0.01598133882842	0.0166713989009807	0.0259448416751788
mrentabilidad	0.0154183933236653	0.0152052676695818	0.0194075587334014
Visa_msaldopesos	0.0153417796518619	0.0169070075869436	0.0218590398365679
Visa_Fvencimiento	0.0152582492171731	0.0111712486864476	0.0236976506639428
Master_Fvencimiento	0.0146176345772929	0.0175025373320004	0.0219611848825332
chomebanking_trx	0.0132964119876791	0.0104286284627369	0.0163432073544433
cliente_antiguedad	0.0132426565708253	0.0123927939491275	0.0217568947906027
Master_mfinanciacion_limite	0.0131374571476155	0.012157225251061	0.0204290091930541
Visa_mconsumospesos	0.0123649667549043	0.0109471165267697	0.0186925434116445
Visa_mfinanciacion_limite	0.0118217700584362	0.0125303373175007	0.0188968335035751
numero_de_cliente	0.01166260795406	0.0102563406108239	0.0197139938712972
mcaja_ahorro_dolares	0.0110948456113661	0.0152039530674855	0.0160367722165475
Visa_mpagominimo	0.00963625731116517	0.00930587829675714	0.0154239019407559
mcomisiones	0.00956571317198065	0.0091166505722048	0.0169560776302349
cproductos	0.00867250718750442	0.00661601746383405	0.00806945863125638
mtransferencias_recibidas	0.00865831610934224	0.00780208846386376	0.0143003064351379
mautoservicio	0.00824474290854294	0.0151942310101578	0.0185903983656793
cextraccion_autoservicio	0.00815259378654346	0.00864369372678278	0.00847803881511747
Master_mlimitecompra	0.00810631626061019	0.0115786653695659	0.0145045965270684
ccomisiones_otras	0.00803311869092414	0.015636747069397	0.0153217568947906
Visa_mconsumototal	0.00766735485745669	0.00817616023981861	0.0144024514811032
mtransferencias_emitidas	0.0075425304642142	0.0114383978257461	0.0138917262512768
mcomisiones_mantenimiento	0.00660571559133308	0.0145883144089947	0.00878447395301328
ccomisiones_mantenimiento	0.00656191847364705	0.0175969887434471	0.00674157303370787
Visa_cconsumos	0.00628347885929568	0.00782718586738166	0.0106230847803882
mtarjeta_visa_debitos_automaticos	0.00587421287921037	0.00957046821068199	0.0119509703779367
ctransferencias_recibidas	0.0057867363003589	0.0133981796389869	0.0093973442288049
ctarjeta_debito_trx	0.00557048660993266	0.011880374048383	0.0139938712972421
Visa_mlimitecompra	0.0054300134784746	0.00903435548128293	0.00847803881511747
ctransferencias_emitidas	0.00533595189081705	0.0132039384319154	0.00868232890704801
ccallcenter_trx	0.00522679191468042	0.00884453793525776	0.00316649642492339
Master_status	0.00502587160380798	0.0113188440122944	0.00204290091930541
mextraccion_autoservicio	0.0049151464118626	0.0096199732265038	0.0117466802860061
thomebanking	0.00471837640444544	0.00479653318533546	0.00388151174668029
cprestamos_personales	0.00471147361852751	0.00481714194747534	0.00357507660878447
