Feature	Gain	Cover	Frequency
ctrx_quarter	0.136272864416736	0.0443238071704352	0.0553808948004837
mpasivos_margen	0.0529740078134788	0.0364556224797483	0.0478839177750907
mcuentas_saldo	0.0404839831351148	0.0493685671926618	0.0463845223700121
mrentabilidad_annual	0.0385929479581517	0.0448183745624745	0.0448851269649335
numero_de_cliente	0.0360120392124883	0.0691331246465074	0.0510761789600967
Visa_fechaalta	0.0319037390402596	0.0372459313383097	0.0383555018137848
Master_fechaalta	0.0314888464654691	0.0411651278907655	0.0410157194679565
mcaja_ahorro	0.0307552123058244	0.0218905924192236	0.0347279322853688
cliente_antiguedad	0.03040727914218	0.0616895080379321	0.0454655380894801
Visa_Fvencimiento	0.0292951081778365	0.0360797107106149	0.0361789600967352
mactivos_margen	0.0284948012972371	0.038394653415323	0.0332285368802902
cliente_edad	0.0279503282056606	0.0509529974360403	0.0423216444981862
mpayroll	0.0275407168162172	0.0073047339123461	0.00425634824667473
Master_Fvencimiento	0.0255575991345276	0.0273657606089918	0.0304715840386941
chomebanking_trx	0.0247798702996242	0.0176696713131611	0.0258766626360339
mcuenta_corriente	0.0239304096377019	0.0532472598032521	0.0321644498186215
mrentabilidad	0.0230998797974691	0.0249346290599196	0.0292623941958888
mtarjeta_visa_consumo	0.0220759999912017	0.0116316473340793	0.0142200725513906
cpayroll_trx	0.0206398322520808	0.00319412070760217	0.00130592503022975
mtransferencias_recibidas	0.0175557336241165	0.0131550924789721	0.0210399032648126
mcomisiones_otras	0.0173546326223105	0.0136435337822723	0.0173155985489722
Visa_mconsumospesos	0.0172776236625725	0.0107372409317706	0.0177509068923821
Master_mfinanciacion_limite	0.0156121395572339	0.0159929283945351	0.0196856106408706
Visa_mpagospesos	0.0154402475257327	0.0128724509854519	0.0185247883917775
Visa_mfinanciacion_limite	0.0149479440555717	0.0138688597019079	0.015671100362757
mprestamos_personales	0.0137828929594934	0.0117056685655427	0.00498186215235792
mcaja_ahorro_dolares	0.0135966681955723	0.0149332120795066	0.0167835550181378
mcomisiones	0.013332874026519	0.0112278310902913	0.0162031438935913
Visa_mpagominimo	0.0123769840947826	0.0104207105997108	0.015671100362757
Visa_msaldopesos	0.0117294083390912	0.00751520170470842	0.0104957678355502
Visa_msaldototal	0.00956674673949284	0.00869334764895659	0.00977025392986699
mtarjeta_visa_debitos_automaticos	0.00840888516069109	0.00627839954606372	0.00967351874244256
mtransferencias_emitidas	0.00825785339963271	0.00616932248041513	0.00836759371221282
ccomisiones_otras	0.00789474750946041	0.00997912149030002	0.0105925030229746
cproductos	0.00659415370669953	0.00594173662391666	0.00706166868198307
ctarjeta_visa_trx	0.00627711690547835	0.00374472687303858	0.00536880290205562
ctransferencias_recibidas	0.00581289503780075	0.00368790925134406	0.00444981862152358
Master_mpagospesos	0.00548609513756744	0.00706735882650983	0.00474002418379686
mautoservicio	0.00524760479540619	0.00483954243346894	0.00725513905683192
mcuenta_debitos_automaticos	0.00497000526953051	0.0041277900017025	0.00454655380894801
mpagomiscuentas	0.00489326148717174	0.00465553888481138	0.00459492140266022
Visa_mlimitecompra	0.00457816323038535	0.0102666722816947	0.00662636033857316
Master_mlimitecompra	0.00448045343492407	0.00560616025898447	0.0060459492140266
mcomisiones_mantenimiento	0.00443897425371844	0.00307306469977969	0.00382103990326481
ctarjeta_debito	0.00443724383180698	0.00519992575507309	0.00546553808948005
Visa_cconsumos	0.00439904631869016	0.00321865953617176	0.00609431680773882
Visa_mpagado	0.00344221931824817	0.00412581862174977	0.00406287787182588
ccaja_ahorro	0.00297035162112243	0.00475131679658199	0.00237001209189843
